vid_id,color
A31H,2
A36O,6
A40E,5
A41X,5
A59Z,6
A61V,3
A66S,5
A80U,4
A83X,6
A88O,5
A92O,5
A99X,6
A99Y,2
B12G,2
B36R,2
B53D,2
B61D,2
B68G,2
B88L,5
C16G,4
C18X,5
C28D,6
C33I,5
C36X,5
C42I,2
C43T,2
C46R,1
C48S,5
C56Y,1
C58C,5
C65K,2
C85C,5
C85Q,6
D04V,6
D12Y,5
D16B,2
D17H,5
D35B,2
D39G,5
D44W,6
D51V,5
D59F,5
D65L,2
D82C,5
D94Z,5
E01L,2
E04A,6
E23G,3
E39Z,5
E45Q,5
E47O,5
E63M,2
E66F,5
E82Z,2
E86N,2
F03Z,4
F10I,5
F32Q,6
F36V,2
F48S,6
F66E,5
F66N,2
F75X,5
F77P,2
F88K,2
F95D,5
G11V,5
G21B,2
G21U,5
G22R,5
G32E,4
G61C,3
G61O,5
G66T,2
G86B,2
G92L,2
G93D,5
G94Z,5
H11P,4
H13A,2
H22T,2
H27O,2
H33Z,2
H50P,5
H71D,5
H87Y,5
I01F,6
I23K,2
I24C,2
I26T,3
I33C,6
I39S,2
I45Y,4
I58N,5
I58X,2
I67J,2
I70X,5
I77J,4
I92X,5
I97U,6
J76I,2
J77I,4
J78O,2
J83Z,2
J87K,5
J88T,6
J96P,2
K11Q,7
K12K,4
K16O,2
K21K,4
K32I,2
K32R,5
K43N,2
K43V,2
K53Y,5
K55R,2
K56C,2
K71Q,2
K75R,2
K78J,5
K88F,2
L10E,2
L13Q,2
L29G,2
L33S,5
L33W,2
L56D,2
L84T,2
L88B,5
M09T,6
M11V,5
M36E,2
M45P,6
M56R,2
M66Y,5
M98P,6
N17S,5
N31Z,5
N34K,2
N49S,6
N65X,5
N66F,2
N68E,2
N74O,4
N75S,5
N83O,6
N84Q,2
N85I,5
N93T,2
N99Z,6
O10W,6
O10Z,5
O16G,5
O22V,6
O29A,5
O34Q,6
O38N,6
O47N,4
O61K,2
O63A,6
O72H,2
O74E,5
O75S,5
O77S,5
O87J,2
O88A,5
O94X,6
O96T,5
P05H,6
P07R,5
P11H,4
P20V,5
P29U,3
P52T,2
P54M,6
P55V,6
P63X,5
P69J,2
P77F,2
P83W,2
P89M,6
P94X,6
Q11K,2
Q17K,2
Q23F,6
Q30R,6
Q31L,2
Q38Q,5
Q43O,5
Q48N,2
Q54E,5
Q58C,6
Q83Q,5
Q89T,2
Q91V,7
R03Q,5
R22G,5
R23K,5
R31Y,2
R37W,5
R48T,6
R55K,2
R57K,2
R63B,2
R64C,2
R65M,2
R70P,5
R77V,2
R96W,6
S16X,4
S26Z,5
S32V,5
S33L,5
S42U,6
S57N,5
S57O,5
S66A,5
S71N,5
S76W,6
S77O,4
S84C,5
S84F,5
S89X,6
S93I,2
S94N,2
T22H,2
T25P,2
T34C,2
T39N,2
T45Y,2
T48L,2
T54X,5
T62I,3
T63X,5
T66G,2
T69O,5
T84R,6
T88J,5
T90M,5
T98Q,2
U08A,6
U12G,5
U24S,5
U79I,6
U88X,5
U92P,4
V02P,5
V11G,5
V11M,5
V15D,5
V16A,4
V19Q,4
V22O,5
V23S,5
V29V,5
V34K,2
V40D,6
V55P,5
V63F,2
V77R,2
V92V,5
W01O,5
W33L,2
W38P,2
W44D,6
W67S,6
W69R,6
W73R,5
X07I,5
X14A,5
X29I,5
X36P,6
X36T,5
X38A,6
X45T,5
X49O,6
X49P,6
X56N,5
X57F,5
X61S,4
X63C,5
X81C,6
X85I,2
X88U,5
X94Z,2
X98S,6
X98Z,5
X99A,5
Y13R,2
Y21D,6
Y35K,6
Y54I,4
Y54T,2
Y54Z,2
Y65C,2
Y66M,5
Y78H,5
Y99A,2
Z01O,5
Z13N,5
Z28E,2
Z30F,4
Z33H,2
Z38J,2
Z45Y,2
Z49D,6
Z49G,5
Z49X,2
Z62S,5
Z89X,5
Z93E,5
Z95A,6
Z99N,6
