STUDENT,GROUP,TIME,SUTURES,INVESTIGATOR,VIDEO,OSATS_RESPECT,OSATS_MOTION,OSATS_INSTRUMENT,OSATS_SUTURE,OSATS_FLOW,OSATS_KNOWLEDGE,OSATS_PERFORMANCE,OSATS_FINAL_QUALITY,GLOBA_RATING_SCORE
AHO729,E-LEARNING,PRE,1,A,P54M,2,1,2,2,1,2,2,1,13
AHO729,E-LEARNING,PRE,1,B,P54M,2,1,3,1,2,1,2,1,13
AHO729,E-LEARNING,PRE,1,C,P54M,2,1,1,1,1,1,1,1,9
AHO729,E-LEARNING,POST,4.5,A,M45P,4,4,4,3,3,4,3,3,28
AHO729,E-LEARNING,POST,4.5,B,M45P,2,3,4,3,3,4,3,3,25
AHO729,E-LEARNING,POST,4.5,C,M45P,3,2,2,2,2,3,2,2,18
AHU348,TUTOR-LED,PRE,0.5,A,D44W,1,1,1,1,1,1,1,1,8
AHU348,TUTOR-LED,PRE,0.5,B,D44W,1,1,1,1,2,1,1,1,9
AHU348,TUTOR-LED,PRE,0.5,C,D44W,1,1,1,1,1,1,1,1,8
AHU348,TUTOR-LED,POST,3,A,W44D,1,1,2,1,1,2,2,1,11
AHU348,TUTOR-LED,POST,3,B,W44D,2,2,3,3,2,3,3,2,20
AHU348,TUTOR-LED,POST,3,C,W44D,1,1,1,1,2,2,1,1,10
AJJ164,E-LEARNING,PRE,2.5,A,V34K,1,1,1,1,1,2,1,1,9
AJJ164,E-LEARNING,PRE,2.5,B,V34K,3,2,3,3,2,3,2,2,20
AJJ164,E-LEARNING,PRE,2.5,C,V34K,2,2,1,1,1,2,1,1,11
AJJ164,E-LEARNING,POST,6,A,K43V,3,2,3,3,2,3,2,3,21
AJJ164,E-LEARNING,POST,6,B,K43V,4,4,4,5,4,5,5,5,36
AJJ164,E-LEARNING,POST,6,C,K43V,3,4,4,4,4,4,4,4,31
ALN135,E-LEARNING,PRE,0.5,A,V16A,1,1,1,1,1,1,1,1,8
ALN135,E-LEARNING,PRE,0.5,B,V16A,4,2,3,3,2,1,2,1,18
ALN135,E-LEARNING,PRE,0.5,C,V16A,1,1,1,1,1,1,1,1,8
ALN135,E-LEARNING,POST,3.5,A,A61V,4,2,3,3,2,3,3,4,24
ALN135,E-LEARNING,POST,3.5,B,A61V,4,3,4,3,3,4,3,4,28
ALN135,E-LEARNING,POST,3.5,C,A61V,4,3,2,3,3,3,3,3,24
ASG463,HMD-BASED,PRE,0.5,A,S84F,1,1,1,1,1,1,1,1,8
